"";"data";"lugar";"media_historica_do_mes";"pluviometria_acumulada_no_mes";"pluviometria_do_dia";"volume_armazenado"
"117";"2004-11-02";"sistemaCotia";132,5;9,9;0,3;0,254
"118";"2004-11-02";"sistemaGuarapiranga";123,3;0,6;0,2;0,301
"119";"2004-11-02";"sistemaRioClaro";203,3;2,4;1,8;0,833
"120";"2004-11-02";"sistemaRioGrande";142,8;4,8;3,3;0,796
"121";"2004-11-03";"sistemaAltoTiete";78,1;0,1;0;NA
"122";"2004-11-03";"sistemaCantareira";156;0,8;0,8;0,294
"123";"2004-11-03";"sistemaCotia";132,5;9,9;0;0,252
"124";"2004-11-03";"sistemaGuarapiranga";123,3;0,6;0;0,3
"125";"2004-11-03";"sistemaRioClaro";203,3;2,4;0;0,828
"126";"2004-11-03";"sistemaRioGrande";142,8;5,1;0,3;0,793
"127";"2004-11-04";"sistemaAltoTiete";78,1;0,1;0;NA
"128";"2004-11-04";"sistemaCantareira";156;0,8;0;0,292
"129";"2004-11-04";"sistemaCotia";132,5;11;1,1;0,249
"130";"2004-11-04";"sistemaGuarapiranga";123,3;6;5,4;0,297
"131";"2004-11-04";"sistemaRioClaro";203,3;2,4;0;0,823
"132";"2004-11-04";"sistemaRioGrande";142,8;5,9;0,8;0,791
"133";"2004-11-05";"sistemaAltoTiete";78,1;1,1;1,1;NA
"134";"2004-11-05";"sistemaCantareira";156;0,8;0;0,291
"135";"2004-11-05";"sistemaCotia";132,5;14,7;3,7;0,248
"136";"2004-11-05";"sistemaGuarapiranga";123,3;11,2;5,2;0,296
"137";"2004-11-05";"sistemaRioClaro";203,3;2,4;0;0,818
"138";"2004-11-05";"sistemaRioGrande";142,8;12,9;7;0,79
"139";"2004-11-06";"sistemaAltoTiete";78,1;5,3;4,2;NA
"140";"2004-11-06";"sistemaCantareira";156;9,1;8,3;0,29
"141";"2004-11-06";"sistemaCotia";132,5;14,9;0,2;0,245
"142";"2004-11-06";"sistemaGuarapiranga";123,3;11,2;0;0,293
"143";"2004-11-06";"sistemaRioClaro";203,3;18;15,6;0,817
"144";"2004-11-06";"sistemaRioGrande";142,8;12,9;0;0,79
"145";"2004-11-07";"sistemaAltoTiete";78,1;8,8;3,5;NA
"146";"2004-11-07";"sistemaCantareira";156;25,8;16,7;0,291
"147";"2004-11-07";"sistemaCotia";132,5;25,1;10,2;0,246
"148";"2004-11-07";"sistemaGuarapiranga";123,3;13,4;2,2;0,293
"149";"2004-11-07";"sistemaRioClaro";203,3;38,5;20,5;0,834
"150";"2004-11-07";"sistemaRioGrande";142,8;21,4;8,5;0,79
"151";"2004-11-08";"sistemaAltoTiete";78,1;9,5;0,7;NA
"152";"2004-11-08";"sistemaCantareira";156;26;0,2;0,292
"153";"2004-11-08";"sistemaCotia";132,5;26,1;1;0,246
"154";"2004-11-08";"sistemaGuarapiranga";123,3;14,2;0,8;0,292
"155";"2004-11-08";"sistemaRioClaro";203,3;41,9;3,4;0,843
"156";"2004-11-08";"sistemaRioGrande";142,8;25;3,6;0,787
"157";"2004-11-09";"sistemaAltoTiete";78,1;9,5;0;NA
"158";"2004-11-09";"sistemaCantareira";156;26;0;0,293
"159";"2004-11-09";"sistemaCotia";132,5;26,1;0;0,245
"160";"2004-11-09";"sistemaGuarapiranga";123,3;14,2;0;0,291
"161";"2004-11-09";"sistemaRioClaro";203,3;42;0,1;0,844
"162";"2004-11-09";"sistemaRioGrande";142,8;25;0;0,787
"163";"2004-11-10";"sistemaAltoTiete";78,1;9,5;0;NA
"164";"2004-11-10";"sistemaCantareira";156;26;0;0,292
"165";"2004-11-10";"sistemaCotia";132,5;26,1;0;0,243
"166";"2004-11-10";"sistemaGuarapiranga";123,3;14,2;0;0,29
"167";"2004-11-10";"sistemaRioClaro";203,3;42;0;0,842
"168";"2004-11-10";"sistemaRioGrande";142,8;25;0;0,784
"169";"2004-11-11";"sistemaAltoTiete";78,1;9,5;0;NA
"170";"2004-11-11";"sistemaCantareira";156;28,8;2,8;0,291
"171";"2004-11-11";"sistemaCotia";132,5;39,9;13,8;0,244
"172";"2004-11-11";"sistemaGuarapiranga";123,3;14,4;0,2;0,29
"173";"2004-11-11";"sistemaRioClaro";203,3;42;0;0,837
"174";"2004-11-11";"sistemaRioGrande";142,8;46,3;21,3;0,784
"175";"2004-11-12";"sistemaAltoTiete";78,1;10,2;0,7;NA
"176";"2004-11-12";"sistemaCantareira";156;40,1;11,3;0,289
"177";"2004-11-12";"sistemaCotia";132,5;57,7;17,8;0,25
"178";"2004-11-12";"sistemaGuarapiranga";123,3;41,8;27,4;0,292
"179";"2004-11-12";"sistemaRioClaro";203,3;44,9;2,9;0,832
"180";"2004-11-12";"sistemaRioGrande";142,8;53,2;6,9;0,781
"181";"2004-11-13";"sistemaAltoTiete";78,1;10,2;0;NA
"182";"2004-11-13";"sistemaCantareira";156;40,1;0;0,288
"183";"2004-11-13";"sistemaCotia";132,5;57,7;0;0,252
"184";"2004-11-13";"sistemaGuarapiranga";123,3;41,8;0;0,292
"185";"2004-11-13";"sistemaRioClaro";203,3;49,2;4,3;0,827
"186";"2004-11-13";"sistemaRioGrande";142,8;53,7;0,5;0,779
"187";"2004-11-14";"sistemaAltoTiete";78,1;10,7;0,5;NA
"188";"2004-11-14";"sistemaCantareira";156;40,1;0;0,286
"189";"2004-11-14";"sistemaCotia";132,5;58,1;0,4;0,25
"190";"2004-11-14";"sistemaGuarapiranga";123,3;41,8;0;0,291
"191";"2004-11-14";"sistemaRioClaro";203,3;51,8;2,6;0,823
"192";"2004-11-14";"sistemaRioGrande";142,8;55,7;2;0,778
"193";"2004-11-15";"sistemaAltoTiete";78,1;10,7;0;NA
"194";"2004-11-15";"sistemaCantareira";156;40,1;0;0,285
"195";"2004-11-15";"sistemaCotia";132,5;58,1;0;0,247
"196";"2004-11-15";"sistemaGuarapiranga";123,3;41,8;0;0,291
"197";"2004-11-15";"sistemaRioClaro";203,3;51,8;0;0,818
"198";"2004-11-15";"sistemaRioGrande";142,8;55,7;0;0,775
"199";"2004-11-16";"sistemaAltoTiete";78,1;33,9;23,2;NA
"200";"2004-11-16";"sistemaCantareira";156;67,7;27,5;0,285
"201";"2004-11-16";"sistemaCotia";132,5;87,4;29,3;0,255
"202";"2004-11-16";"sistemaGuarapiranga";123,3;63,4;21,6;0,293
"203";"2004-11-16";"sistemaRioClaro";203,3;65,7;13,9;0,814
"204";"2004-11-16";"sistemaRioGrande";142,8;64,2;8,5;0,782
"205";"2004-11-17";"sistemaAltoTiete";78,1;49,4;15,5;NA
"206";"2004-11-17";"sistemaCantareira";156;114,3;46,6;0,29
"207";"2004-11-17";"sistemaCotia";132,5;105;17,6;0,267
"208";"2004-11-17";"sistemaGuarapiranga";123,3;83,6;20,2;0,3
"209";"2004-11-17";"sistemaRioClaro";203,3;72;6,3;0,814
"210";"2004-11-17";"sistemaRioGrande";142,8;71,7;7,5;0,79
"211";"2004-11-18";"sistemaAltoTiete";78,1;54,3;4,9;NA
"212";"2004-11-18";"sistemaCantareira";156;126,6;12,3;0,294
"213";"2004-11-18";"sistemaCotia";132,5;111,4;6,4;0,276
"214";"2004-11-18";"sistemaGuarapiranga";123,3;87,6;4;0,308
"215";"2004-11-18";"sistemaRioClaro";203,3;80,4;8,4;0,814
"216";"2004-11-18";"sistemaRioGrande";142,8;93,7;22;0,793
"217";"2004-11-19";"sistemaAltoTiete";78,1;54,3;0,1;NA
"218";"2004-11-19";"sistemaCantareira";156;130,5;3,9;0,295
"219";"2004-11-19";"sistemaCotia";132,5;119,1;7,7;0,283
"220";"2004-11-19";"sistemaGuarapiranga";123,3;90;2,4;0,315
"221";"2004-11-19";"sistemaRioClaro";203,3;83,3;2,9;0,814
"222";"2004-11-19";"sistemaRioGrande";142,8;103,2;9,5;0,794
"223";"2004-11-20";"sistemaAltoTiete";78,1;60,6;6,2;NA
"224";"2004-11-20";"sistemaCantareira";156;142;11,5;0,297
"225";"2004-11-20";"sistemaCotia";132,5;119,1;0;0,285
"226";"2004-11-20";"sistemaGuarapiranga";123,3;91,4;1,4;0,32
"227";"2004-11-20";"sistemaRioClaro";203,3;93,7;10,4;0,814
"228";"2004-11-20";"sistemaRioGrande";142,8;107,4;4,2;0,793
"229";"2004-11-21";"sistemaAltoTiete";78,1;60,8;0,3;NA
"230";"2004-11-21";"sistemaCantareira";156;142;0;0,297
"231";"2004-11-21";"sistemaCotia";132,5;119,1;0;0,286
"232";"2004-11-21";"sistemaGuarapiranga";123,3;91,4;0;0,323
"233";"2004-11-21";"sistemaRioClaro";203,3;95,1;1,4;0,815
"234";"2004-11-21";"sistemaRioGrande";142,8;108;0,6;0,793
"235";"2004-11-22";"sistemaAltoTiete";78,1;60,8;0;NA
"236";"2004-11-22";"sistemaCantareira";156;142;0;0,297
"237";"2004-11-22";"sistemaCotia";132,5;119,1;0;0,285
"238";"2004-11-22";"sistemaGuarapiranga";123,3;91,4;0;0,323
"239";"2004-11-22";"sistemaRioClaro";203,3;95,1;0;0,813
"240";"2004-11-22";"sistemaRioGrande";142,8;108;0;0,791
"241";"2004-11-23";"sistemaAltoTiete";78,1;60,8;0;NA
"242";"2004-11-23";"sistemaCantareira";156;142;0;0,295
"243";"2004-11-23";"sistemaCotia";132,5;119,1;0;0,283
"244";"2004-11-23";"sistemaGuarapiranga";123,3;91,4;0;0,322
"245";"2004-11-23";"sistemaRioClaro";203,3;95,1;0;0,807
"246";"2004-11-23";"sistemaRioGrande";142,8;108;0;0,79
"247";"2004-11-24";"sistemaAltoTiete";78,1;60,9;0,1;NA
"248";"2004-11-24";"sistemaCantareira";156;142;0;0,294
"249";"2004-11-24";"sistemaCotia";132,5;119,1;0;0,279
"250";"2004-11-24";"sistemaGuarapiranga";123,3;91,4;0;0,32
"251";"2004-11-24";"sistemaRioClaro";203,3;95,1;0;0,803
"252";"2004-11-24";"sistemaRioGrande";142,8;108;0;0,787
"253";"2004-11-25";"sistemaAltoTiete";78,1;61;0,1;NA
"254";"2004-11-25";"sistemaCantareira";156;142;0;0,293
"255";"2004-11-25";"sistemaCotia";132,5;119,1;0;0,277
"256";"2004-11-25";"sistemaGuarapiranga";123,3;91,4;0;0,318
"257";"2004-11-25";"sistemaRioClaro";203,3;95,1;0;0,797
"258";"2004-11-25";"sistemaRioGrande";142,8;108;0;0,785
"259";"2004-11-26";"sistemaAltoTiete";78,1;61;0;NA
"260";"2004-11-26";"sistemaCantareira";156;142;0;0,291
"261";"2004-11-26";"sistemaCotia";132,5;119,1;0;0,275
"262";"2004-11-26";"sistemaGuarapiranga";123,3;91,4;0;0,316
"263";"2004-11-26";"sistemaRioClaro";203,3;95,1;0;0,791
"264";"2004-11-26";"sistemaRioGrande";142,8;108;0;0,781
"265";"2004-11-27";"sistemaAltoTiete";78,1;67,9;6,9;NA
"266";"2004-11-27";"sistemaCantareira";156;142;0;0,289
"267";"2004-11-27";"sistemaCotia";132,5;119,1;0;0,273
"268";"2004-11-27";"sistemaGuarapiranga";123,3;91,4;0;0,314
"269";"2004-11-27";"sistemaRioClaro";203,3;105,7;10,6;0,786
"270";"2004-11-27";"sistemaRioGrande";142,8;108;0;0,779
"271";"2004-11-28";"sistemaAltoTiete";78,1;129,4;61,5;NA
"272";"2004-11-28";"sistemaCantareira";156;162,5;20,6;0,289
"273";"2004-11-28";"sistemaCotia";132,5;160,9;41,8;0,276
"274";"2004-11-28";"sistemaGuarapiranga";123,3;114,2;22,8;0,317
"275";"2004-11-28";"sistemaRioClaro";203,3;136,1;30,4;0,786
"276";"2004-11-28";"sistemaRioGrande";142,8;135,5;27,5;0,788
"277";"2004-11-29";"sistemaAltoTiete";78,1;162,8;33,4;NA
"278";"2004-11-29";"sistemaCantareira";156;203,6;41,1;0,292
"279";"2004-11-29";"sistemaCotia";132,5;182,6;21,7;0,287
"280";"2004-11-29";"sistemaGuarapiranga";123,3;134,6;20,4;0,325
"281";"2004-11-29";"sistemaRioClaro";203,3;176,6;40,5;0,808
"282";"2004-11-29";"sistemaRioGrande";142,8;162,3;26,8;0,802
"283";"2004-11-30";"sistemaAltoTiete";78,1;163,1;0,4;NA
"284";"2004-11-30";"sistemaCantareira";156;204;0,4;0,293
"285";"2004-11-30";"sistemaCotia";132,5;183;0,4;0,292
"286";"2004-11-30";"sistemaGuarapiranga";123,3;134,6;0;0,331
"287";"2004-11-30";"sistemaRioClaro";203,3;190,3;13,7;0,829
"288";"2004-11-30";"sistemaRioGrande";142,8;163,5;1,2;0,809
"289";"2004-12-01";"sistemaAltoTiete";189,1;0,2;0,2;0,253
"290";"2004-12-01";"sistemaCantareira";225,8;0;0;0,293
"291";"2004-12-01";"sistemaCotia";175,9;0;0;0,293
"292";"2004-12-01";"sistemaGuarapiranga";174,8;1,4;1,4;0,338
"293";"2004-12-01";"sistemaRioClaro";261,9;0,7;0,7;0,83
"294";"2004-12-01";"sistemaRioGrande";192,2;3;3;0,812
"295";"2004-12-02";"sistemaAltoTiete";189,1;0,4;0,3;0,256
"296";"2004-12-02";"sistemaCantareira";225,8;0;0;0,292
"297";"2004-12-02";"sistemaCotia";175,9;0,4;0,4;0,293
"298";"2004-12-02";"sistemaGuarapiranga";174,8;1,6;0,2;0,34
"299";"2004-12-02";"sistemaRioClaro";261,9;1,4;0,7;0,832
"300";"2004-12-02";"sistemaRioGrande";192,2;4,8;1,8;0,81
"301";"2004-12-03";"sistemaAltoTiete";189,1;0,5;0,1;0,257
"302";"2004-12-03";"sistemaCantareira";225,8;0;0;0,291
"303";"2004-12-03";"sistemaCotia";175,9;0,4;0;0,291
"304";"2004-12-03";"sistemaGuarapiranga";174,8;1,6;0;0,341
"305";"2004-12-03";"sistemaRioClaro";261,9;1,5;0,1;0,83
"306";"2004-12-03";"sistemaRioGrande";192,2;4,8;0;0,81
"307";"2004-12-04";"sistemaAltoTiete";189,1;13,8;13,3;0,26
"308";"2004-12-04";"sistemaCantareira";225,8;14;14;0,291
"309";"2004-12-04";"sistemaCotia";175,9;18,6;18,2;0,296
"310";"2004-12-04";"sistemaGuarapiranga";174,8;23;21,4;0,347
"311";"2004-12-04";"sistemaRioClaro";261,9;14,5;13;0,83
"312";"2004-12-04";"sistemaRioGrande";192,2;17,6;12,8;0,812
"313";"2004-12-05";"sistemaAltoTiete";189,1;13,8;0;0,26
"314";"2004-12-05";"sistemaCantareira";225,8;14,5;0,5;0,291
"315";"2004-12-05";"sistemaCotia";175,9;18,6;0;0,3
"316";"2004-12-05";"sistemaGuarapiranga";174,8;23;0;0,349
"317";"2004-12-05";"sistemaRioClaro";261,9;34;19,5;0,835
"318";"2004-12-05";"sistemaRioGrande";192,2;17,9;0,3;0,81
"319";"2004-12-06";"sistemaAltoTiete";189,1;15,1;1,3;0,26
"320";"2004-12-06";"sistemaCantareira";225,8;14,5;0;0,291
"321";"2004-12-06";"sistemaCotia";175,9;18,8;0,2;0,301
"322";"2004-12-06";"sistemaGuarapiranga";174,8;29;6;0,355
"323";"2004-12-06";"sistemaRioClaro";261,9;34;0;0,837
"324";"2004-12-06";"sistemaRioGrande";192,2;20,3;2,4;0,81
"325";"2004-12-07";"sistemaAltoTiete";189,1;33,6;18,5;0,262
"326";"2004-12-07";"sistemaCantareira";225,8;26,1;11,6;0,292
"327";"2004-12-07";"sistemaCotia";175,9;21,3;2,5;0,301
"328";"2004-12-07";"sistemaGuarapiranga";174,8;30;1;0,364
"329";"2004-12-07";"sistemaRioClaro";261,9;36;2;0,837
"330";"2004-12-07";"sistemaRioGrande";192,2;23,8;3,5;0,813
"331";"2004-12-08";"sistemaAltoTiete";189,1;66,4;32,9;0,268
"332";"2004-12-08";"sistemaCantareira";225,8;47,5;21,4;0,294
"333";"2004-12-08";"sistemaCotia";175,9;49,2;27,9;0,307
"334";"2004-12-08";"sistemaGuarapiranga";174,8;42;12;0,37
"335";"2004-12-08";"sistemaRioClaro";261,9;65,6;29,6;0,844
"336";"2004-12-08";"sistemaRioGrande";192,2;56,4;32,6;0,816
"337";"2004-12-09";"sistemaAltoTiete";189,1;66,7;0,2;0,27
"338";"2004-12-09";"sistemaCantareira";225,8;49,5;2;0,297
"339";"2004-12-09";"sistemaCotia";175,9;52,8;3,6;0,31
"340";"2004-12-09";"sistemaGuarapiranga";174,8;42,6;0,6;0,373
"341";"2004-12-09";"sistemaRioClaro";261,9;65,6;0;0,847
"342";"2004-12-09";"sistemaRioGrande";192,2;60,9;4,5;0,816
"343";"2004-12-10";"sistemaAltoTiete";189,1;80,3;13,6;0,273
"344";"2004-12-10";"sistemaCantareira";225,8;62,5;13;0,3
"345";"2004-12-10";"sistemaCotia";175,9;64,4;11,6;0,315
